location,date,ph,temperature,conductivity,dissolved_oxygen
Lake A,2023-01-01,7.2,20.5,500,8.2
River B,2023-01-02,6.8,18.3,,7.5
Pond C,2023-01-03,8.5,22.0,,9.0
Lake A,2023-01-04,7.0,19.8,490,8.0
River B,2023-01-05,7.3,,,7.8
Pond C,2023-01-06,8.2,,,9.2
Lake A,2023-01-07,,20.0,495,7.9
River B,2023-01-08,7.1,18.5,475,
Pond C,2023-01-09,,,545,8.9
Lake A,2023-01-10,7.4,20.2,,8.3
River B,2023-01-11,7.0,,480,7.6
Pond C,2023-01-12,8.4,,,9.1
Lake A,2023-01-13,,20.1,500,8.1
River B,2023-01-14,7.2,,482,7.7
Pond C,2023-01-15,8.1,,,9.3
Lake A,2023-01-16,7.3,,,8.4
River B,2023-01-17,,,478,7.6
Pond C,2023-01-18,8.2,22.4,,9.0
Lake A,2023-01-19,7.2,20.4,502,8.2
River B,2023-01-20,7.1,18.8,,7.8
Pond C,2023-01-21,,22.2,558,
Lake A,2023-01-22,7.0,20.0,498,8.0
River B,2023-01-23,,,488,7.9
Pond C,2023-01-24,8.5,22.6,,9.5
Lake A,2023-01-25,7.1,,497,8.0
River B,2023-01-26,,18.5,480,7.6
Pond C,2023-01-27,8.4,,,9.2
Lake A,2023-01-28,7.3,20.2,505,8.3
River B,2023-01-29,7.0,,,7.6
Pond C,2023-01-30,8.2,,557,9.0
Lake A,2023-01-31,7.2,,508,8.4
River B,2023-02-01,6.9,18.6,479,7.7
Pond C,2023-02-02,8.3,22.2,560,9.1
Lake A,2023-02-03,,20.1,503,8.2
River B,2023-02-04,7.1,18.7,481,7.7
Pond C,2023-02-05,8.4,22.5,565,
Lake A,2023-02-06,7.3,,507,8.3
River B,2023-02-07,,18.5,478,7.6
Pond C,2023-02-08,,,558,9.1
Lake A,2023-02-09,7.1,20.1,500,8.1
River B,2023-02-10,7.2,,482,7.7
Pond C,2023-02-11,8.5,22.2,560,9.1
Lake A,2023-02-12,7.0,20.0,498,8.0
River B,2023-02-13,7.4,,,7.9
Pond C,2023-02-14,,,545,8.9
Lake A,2023-02-15,7.2,20.2,505,8.3
River B,2023-02-16,7.0,18.7,478,7.6
Lake A,2023-03-02,7.1,20.1,500,8.1
River B,2023-03-03,7.2,18.4,482,7.7
Pond C,2023-03-04,8.5,22.6,570,9.5
Lake A,2023-03-05,7.1,19.9,497,8.0
River B,2023-03-06,7.2,18.5,480,7.6
Pond C,2023-03-07,8.4,22.4,562,9.2
Lake A,2023-03-08,7.3,20.2,505,8.3
River B,2023-03-09,7.0,18.7,478,7.6
Pond C,2023-03-10,8.2,22.3,558,9.1
Lake A,2023-03-11,7.2,20.3,508,8.4
River B,2023-03-12,6.9,18.6,479,7.7
Pond C,2023-03-13,8.3,22.2,560,9.1
Lake A,2023-03-14,7.0,20.1,503,8.2
River B,2023-03-15,7.1,18.7,481,7.7
Pond C,2023-03-16,8.4,22.5,565,9.3
Lake A,2023-03-17,7.3,20.4,507,8.3
River B,2023-03-18,6.9,18.5,478,7.6
Pond C,2023-03-19,8.2,22.3,558,9.1
Lake A,2023-03-20,7.1,20.1,500,8.1
River B,2023-03-21,7.2,18.4,482,7.7
Pond C,2023-03-22,8.5,22.6,570,9.5
Lake A,2023-03-23,7.1,19.9,497,8.0
River B,2023-03-24,7.2,18.5,480,7.6
Pond C,2023-03-25,8.4,22.4,562,9.2
Lake A,2023-03-26,7.3,20.2,505,8.3
